sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s,name,address,lat,lng
81,31.06093877024984,120.95173616735283,ChIJQwNCQM75sjUR8kYiToxA6Sc,59,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905,15201,1083,Huqing Out-patient Department,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905
82,31.42097445466424,121.33166683882634,ChIJM_gs9VhtsjURR89GOdi5ivw,56,"239 Yang Tai Lu, Bao Shan Qu",31.37121900000001,121.444179,18226,1583,Community Health Service Center of Yanghang Town,"239 Yang Tai Lu, Bao Shan Qu",31.37121900000001,121.444179
83,31.69937500892371,121.30340418841296,ChIJc0Fdt49zsjURg9eENcuKYcs,22,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418,94132,5752,Changhai Hospital of Shanghai,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418
84,30.919475302704573,121.86813369055736,ChIJB03B4d-IrTURinaim1wTuec,45,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814,45811,2673,Huayang,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814
85,31.0943773313442,121.27731496905568,ChIJufwUBVhhsjUR8ux9fQ6VxE0,44,"三八路26号, 七宝三八路, Min Hang Qu",31.150802,121.35355,12397,1801,Huayang,"三八路26号, 七宝三八路, Min Hang Qu",31.150802,121.35355
86,30.859904827461943,121.0943968812292,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,56349,2597,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
87,31.460435464274717,121.34477544780576,ChIJM_gs9VhtsjURR89GOdi5ivw,56,"239 Yang Tai Lu, Bao Shan Qu",31.37121900000001,121.444179,23395,2234,Community Health Service Center of Yanghang Town,"239 Yang Tai Lu, Bao Shan Qu",31.37121900000001,121.444179
88,31.316054810252467,121.58975453056784,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,3906,485,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
89,31.26191590183048,121.64366970664344,ChIJ1efgBjB2sjURc7a1anD44UM,27,"6JF8+HHW, Pudong",31.22399699999999,121.616444,7417,557,Recovery Clinics,"6JF8+HHW, Pudong",31.22399699999999,121.616444
90,30.869259133765187,121.11034632887488,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,52420,2237,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
91,31.35416137937826,121.59564989963268,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,14437,934,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
92,31.146480111941703,121.49957172105658,ChIJE7Ir1yZ6sjUR0zhoXvHKZlU,43,"5G9M+JG3, Dong Shu Fang Lu, Pu Dong Xin Qu",31.169019,121.533803,6169,704,Huayang,"5G9M+JG3, Dong Shu Fang Lu, Pu Dong Xin Qu",31.169019,121.533803
93,30.858870986685645,121.80922948108233,ChIJB03B4d-IrTURinaim1wTuec,45,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814,58022,3387,Huayang,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814
94,31.817128022057897,121.1958888996937,ChIJc0Fdt49zsjURg9eENcuKYcs,22,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418,112340,7801,Changhai Hospital of Shanghai,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418
95,31.57642081386857,121.8876974418597,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,55004,3659,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
96,30.877464275427464,121.64782305766474,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,37404,2533,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
97,31.125610126403856,121.58755349802388,ChIJ1efgBjB2sjURc7a1anD44UM,27,"6JF8+HHW, Pudong",31.22399699999999,121.616444,15495,1170,Recovery Clinics,"6JF8+HHW, Pudong",31.22399699999999,121.616444
98,31.098088939531543,121.25023180740548,ChIJufwUBVhhsjUR8ux9fQ6VxE0,44,"三八路26号, 七宝三八路, Min Hang Qu",31.150802,121.35355,13571,1946,Huayang,"三八路26号, 七宝三八路, Min Hang Qu",31.150802,121.35355
99,31.783980173245308,121.2511550683069,ChIJc0Fdt49zsjURg9eENcuKYcs,22,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418,102601,6264,Changhai Hospital of Shanghai,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418
